# y+ ()       
# Time        	patch         	min           	max           	average       
327           	pipe	1.466367e+01	5.684679e+01	4.844749e+01
328           	pipe	1.466367e+01	5.684679e+01	4.844501e+01
329           	pipe	1.466367e+01	5.684679e+01	4.844261e+01
330           	pipe	1.466367e+01	5.684679e+01	4.844028e+01
331           	pipe	1.466367e+01	5.684679e+01	4.843803e+01
332           	pipe	1.466367e+01	5.684678e+01	4.843585e+01
333           	pipe	1.466367e+01	5.684678e+01	4.843373e+01
334           	pipe	1.466367e+01	5.684678e+01	4.843169e+01
335           	pipe	1.466367e+01	5.684678e+01	4.842971e+01
336           	pipe	1.466367e+01	5.684678e+01	4.842779e+01
337           	pipe	1.466367e+01	5.684678e+01	4.842594e+01
338           	pipe	1.466367e+01	5.684678e+01	4.842415e+01
339           	pipe	1.466367e+01	5.684678e+01	4.842243e+01
340           	pipe	1.466367e+01	5.684678e+01	4.842076e+01
341           	pipe	1.466367e+01	5.684678e+01	4.841915e+01
342           	pipe	1.466367e+01	5.684678e+01	4.841759e+01
343           	pipe	1.466367e+01	5.684678e+01	4.841610e+01
344           	pipe	1.466367e+01	5.684678e+01	4.841466e+01
345           	pipe	1.466367e+01	5.684678e+01	4.841327e+01
346           	pipe	1.466367e+01	5.684678e+01	4.841193e+01
347           	pipe	1.466367e+01	5.684678e+01	4.841065e+01
348           	pipe	1.466367e+01	5.684678e+01	4.840942e+01
349           	pipe	1.466367e+01	5.684678e+01	4.840823e+01
350           	pipe	1.466367e+01	5.684678e+01	4.840710e+01
351           	pipe	1.466367e+01	5.684678e+01	4.840601e+01
352           	pipe	1.466367e+01	5.684678e+01	4.840497e+01
353           	pipe	1.466367e+01	5.684677e+01	4.840398e+01
354           	pipe	1.466367e+01	5.684677e+01	4.840304e+01
355           	pipe	1.466367e+01	5.684677e+01	4.840214e+01
356           	pipe	1.466367e+01	5.684677e+01	4.840129e+01
357           	pipe	1.466367e+01	5.684677e+01	4.840049e+01
358           	pipe	1.466367e+01	5.684677e+01	4.839973e+01
359           	pipe	1.466367e+01	5.684677e+01	4.839901e+01
360           	pipe	1.466367e+01	5.684677e+01	4.839834e+01
361           	pipe	1.466367e+01	5.684677e+01	4.839772e+01
362           	pipe	1.466367e+01	5.684677e+01	4.839714e+01
363           	pipe	1.466367e+01	5.684677e+01	4.839661e+01
364           	pipe	1.466367e+01	5.684677e+01	4.839613e+01
365           	pipe	1.466367e+01	5.684677e+01	4.839569e+01
366           	pipe	1.466367e+01	5.684677e+01	4.839529e+01
367           	pipe	1.466367e+01	5.684677e+01	4.839494e+01
368           	pipe	1.466367e+01	5.684677e+01	4.839464e+01
369           	pipe	1.466367e+01	5.684677e+01	4.839438e+01
370           	pipe	1.466367e+01	5.684677e+01	4.839417e+01
371           	pipe	1.466367e+01	5.684677e+01	4.839401e+01
372           	pipe	1.466367e+01	5.684677e+01	4.839389e+01
373           	pipe	1.466367e+01	5.684677e+01	4.839381e+01
374           	pipe	1.466367e+01	5.684677e+01	4.839378e+01
375           	pipe	1.466367e+01	5.684677e+01	4.839379e+01
376           	pipe	1.466367e+01	5.684677e+01	4.839384e+01
377           	pipe	1.466367e+01	5.684677e+01	4.839394e+01
378           	pipe	1.466367e+01	5.684677e+01	4.839407e+01
379           	pipe	1.466367e+01	5.684677e+01	4.839425e+01
380           	pipe	1.466367e+01	5.684677e+01	4.839446e+01
381           	pipe	1.466367e+01	5.684677e+01	4.839471e+01
382           	pipe	1.466367e+01	5.684677e+01	4.839499e+01
383           	pipe	1.466367e+01	5.684677e+01	4.839530e+01
384           	pipe	1.466367e+01	5.684677e+01	4.839565e+01
385           	pipe	1.466367e+01	5.684677e+01	4.839603e+01
386           	pipe	1.466367e+01	5.684677e+01	4.839644e+01
